Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.114933,0.103278
5,20.9083,23.25,0.0679066,0.0629843
10,28.5,28.025,0.0513588,0.0488277
15,35.0333,33.575,0.0429121,0.041943
20,40.75,38.9,0.038137,0.0380825
25,44.875,42.525,0.0351049,0.0355485
30,48.375,46.2,0.032851,0.0335786
35,51.4167,48.95,0.0310672,0.0319421
40,53.75,51.1,0.0296436,0.030584
45,55.6083,52.725,0.0284709,0.0295219
50,57.1167,54.15,0.0274807,0.0287121
55,58.3167,55.65,0.0266194,0.0280265
60,59.3917,56.65,0.0258608,0.0273786
65,60.6417,58,0.0251915,0.0267523
70,61.3917,59.275,0.0245899,0.0261348
75,62.2083,60.875,0.0240379,0.0255533
80,63.0333,62.125,0.0235197,0.025057
85,63.95,63.325,0.0230237,0.0246673
90,64.5333,63.925,0.022548,0.0243402
95,65.1417,64.7,0.0220937,0.0239833
100,65.425,65.8,0.0216383,0.0235617
105,66.0417,66.725,0.0211703,0.023184
110,66.7,67.575,0.0207247,0.0228738
115,67.1333,68.35,0.0203239,0.0225962
120,67.3333,69.15,0.0199665,0.0223458
125,67.8917,69.95,0.0196379,0.0221429
130,68.1583,70.625,0.0193304,0.0219742
135,68.45,71.05,0.0190388,0.02182
140,68.7417,71.45,0.0187628,0.0216766
145,69.0333,71.925,0.0185068,0.0215417
150,69.2833,72.3,0.0182732,0.0214131
155,69.6167,72.45,0.0180638,0.0212958
160,69.9167,72.875,0.0178777,0.021196
165,70.0833,73.225,0.0177114,0.0211198
170,70.4333,73.5,0.0175575,0.0210684
175,70.8333,73.775,0.0174092,0.0210385
180,71.1333,74.075,0.0172648,0.0210226
185,71.575,74.4,0.0171247,0.0210094
190,71.6917,74.7,0.0169894,0.0209924
195,71.9833,75.05,0.0168633,0.0209738
200,72.2333,75.425,0.0167441,0.0209531
205,72.4833,75.525,0.0166314,0.0209361
210,72.7417,75.85,0.0165263,0.0209354
215,72.9417,76.075,0.0164296,0.0209612
220,73.275,76.2,0.0163358,0.0209786
225,73.425,76.275,0.0162391,0.0209602
230,73.675,76.3,0.0161414,0.0209107
235,73.7833,76.55,0.0160455,0.0208376
240,73.875,76.75,0.0159523,0.0207527
245,73.9583,76.95,0.0158594,0.0206648
250,74.1667,77.125,0.0157654,0.0205798
255,74.3083,77.075,0.0156708,0.0205016
260,74.5667,77.175,0.0155766,0.0204318
265,74.75,77.2,0.0154836,0.0203705
270,74.8417,77.2,0.0153922,0.0203171
275,75.0167,77.325,0.0153023,0.0202708
280,75.1417,77.325,0.0152133,0.020231
285,75.3667,77.55,0.0151248,0.0201967
290,75.5667,77.55,0.015037,0.0201659
295,75.675,77.575,0.0149511,0.0201364
300,75.7917,77.7,0.0148676,0.0201078
305,75.9,77.775,0.0147864,0.0200814
310,76.025,77.95,0.014709,0.0200601
315,76.0917,78.025,0.0146361,0.0200446
320,76.2917,78.075,0.0145668,0.0200341
